politician 	cause 	politician_label 	cause_of_death_label
http://www.wikidata.org/entity/Q329083 	http://www.wikidata.org/entity/Q12078 	"Nathalie Gautier"@en 	"cancer"@en
http://www.wikidata.org/entity/Q446592 	http://www.wikidata.org/entity/Q12078 	"Siri Bjerke"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3240825 	http://www.wikidata.org/entity/Q12078 	"Liliane Dayot"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3309152 	http://www.wikidata.org/entity/Q12078 	"Michel Bérégovoy"@en 	"cancer"@en
http://www.wikidata.org/entity/Q1503005 	http://www.wikidata.org/entity/Q12078 	"Geoffrey Henry"@en 	"cancer"@en
http://www.wikidata.org/entity/Q467150 	http://www.wikidata.org/entity/Q12078 	"Haim Bar-Lev"@en 	"cancer"@en
http://www.wikidata.org/entity/Q333735 	http://www.wikidata.org/entity/Q12078 	"Charles Haughey"@en 	"cancer"@en
http://www.wikidata.org/entity/Q817845 	http://www.wikidata.org/entity/Q12078 	"Bennett Campbell"@en 	"cancer"@en
http://www.wikidata.org/entity/Q367165 	http://www.wikidata.org/entity/Q12078 	"Peter Norbeck"@en 	"cancer"@en
http://www.wikidata.org/entity/Q611384 	http://www.wikidata.org/entity/Q12078 	"António Alva Rosa Coutinho"@en 	"cancer"@en
http://www.wikidata.org/entity/Q1441961 	http://www.wikidata.org/entity/Q12078 	"Francisco Fernández Ordóñez"@en 	"cancer"@en
http://www.wikidata.org/entity/Q274267 	http://www.wikidata.org/entity/Q12078 	"Marie-Claude Vaillant-Couturier"@en 	"cancer"@en
http://www.wikidata.org/entity/Q2939388 	http://www.wikidata.org/entity/Q12078 	"Carlos Luis Fallas"@en 	"cancer"@en
http://www.wikidata.org/entity/Q1393455 	http://www.wikidata.org/entity/Q12078 	"Jacques Parizeau"@en 	"cancer"@en
http://www.wikidata.org/entity/Q294072 	http://www.wikidata.org/entity/Q12078 	"Gheorghe Gheorghiu-Dej"@en 	"cancer"@en
http://www.wikidata.org/entity/Q563243 	http://www.wikidata.org/entity/Q12078 	"Einar Førde"@en 	"cancer"@en
http://www.wikidata.org/entity/Q16504656 	http://www.wikidata.org/entity/Q12078
http://www.wikidata.org/entity/Q14865188 	http://www.wikidata.org/entity/Q12078
http://www.wikidata.org/entity/Q15955863 	http://www.wikidata.org/entity/Q12078
http://www.wikidata.org/entity/Q12881496 	http://www.wikidata.org/entity/Q12078
http://www.wikidata.org/entity/Q463995 	http://www.wikidata.org/entity/Q12078 	"Solange Fernex"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3370296 	http://www.wikidata.org/entity/Q12078 	"Paul-Henri Cugnenc"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3111575 	http://www.wikidata.org/entity/Q12078 	"Pedro Zerolo"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3184567 	http://www.wikidata.org/entity/Q12078 	"Joseph Barthélemy"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3309741 	http://www.wikidata.org/entity/Q12078 	"Michel Germa"@en 	"cancer"@en
http://www.wikidata.org/entity/Q1410230 	http://www.wikidata.org/entity/Q12078 	"Alain Riou"@en 	"cancer"@en
http://www.wikidata.org/entity/Q5232978 	http://www.wikidata.org/entity/Q12078 	"David Dill"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3188690 	http://www.wikidata.org/entity/Q12078 	"Jules François Alexandre Joffrin"@en 	"cancer"@en
http://www.wikidata.org/entity/Q2939608 	http://www.wikidata.org/entity/Q12078 	"Carmen Cerdeira"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3170097 	http://www.wikidata.org/entity/Q12078 	"Jean-Yves Besselat"@en 	"cancer"@en
http://www.wikidata.org/entity/Q261957 	http://www.wikidata.org/entity/Q12078 	"Stuart Bell"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3013842 	http://www.wikidata.org/entity/Q12078 	"Daniel Chanet"@en 	"cancer"@en
http://www.wikidata.org/entity/Q3294082 	http://www.wikidata.org/entity/Q12078 	"Mark Fredriksen"@en 	"cancer"@en
http://www.wikidata.org/entity/Q1441506 	http://www.wikidata.org/entity/Q12078 	"Francis Giraud"@en 	"cancer"@en
