p 	pl 	ppicture 	w 	wl 	wpicture
http://www.wikidata.org/entity/Q23685 	"Jimmy Carter"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/James E. Carter - portrait.jpg 	http://www.wikidata.org/entity/Q219353 	"Rosalynn Carter"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Rose Carter, official color photo, 1977.jpg
http://www.wikidata.org/entity/Q23685 	"Jimmy Carter"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Jimmy Carter.jpg 	http://www.wikidata.org/entity/Q219353 	"Rosalynn Carter"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Rose Carter, official color photo, 1977.jpg
http://www.wikidata.org/entity/Q23685 	"Jimmy Carter"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/JimmyCarterPortrait2.jpg 	http://www.wikidata.org/entity/Q219353 	"Rosalynn Carter"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Rose Carter, official color photo, 1977.jpg
http://www.wikidata.org/entity/Q23505 	"George H. W. Bush"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/43 George H.W. Bush 3x4.jpg 	http://www.wikidata.org/entity/Q190628 	"Barbara Bush"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/First Lady Barbara Bush.jpg
http://www.wikidata.org/entity/Q35686 	"Rutherford B. Hayes"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/President Rutherford Hayes 1870 - 1880 Restored.jpg 	http://www.wikidata.org/entity/Q234275 	"Lucy Webb Hayes"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Lucy Webb Hayes - Brady-Handy.jpg
http://www.wikidata.org/entity/Q35686 	"Rutherford B. Hayes"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/President Rutherford Hayes 1870 - 1880 Restored.jpg 	http://www.wikidata.org/entity/Q234275 	"Lucy Webb Hayes"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Lhayes.jpeg
http://www.wikidata.org/entity/Q9696 	"John F. Kennedy"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/John F Kennedy.jpg 	http://www.wikidata.org/entity/Q165421 	"Jacqueline Kennedy Onassis"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/JBK In Ft Worth (11-22-63).jpg
http://www.wikidata.org/entity/Q9588 	"Richard Nixon"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/RNIXON.gif 	http://www.wikidata.org/entity/Q158707 	"Pat Nixon"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/PatNixon.jpg
http://www.wikidata.org/entity/Q9582 	"Gerald Ford"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Gerald Ford.jpg 	http://www.wikidata.org/entity/Q213122 	"Betty Ford"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Betty Ford, official White House photo color, 1974.jpg
http://www.wikidata.org/entity/Q76 	"Barack Obama"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/President Barack Obama.jpg 	http://www.wikidata.org/entity/Q13133 	"Michelle Obama"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Michelle Obama 2013 official portrait.jpg
http://www.wikidata.org/entity/Q34296 	"Woodrow Wilson"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Thomas Woodrow Wilson, Harris & Ewing bw photo portrait, 1919.jpg 	http://www.wikidata.org/entity/Q255169 	"Edith Bolling Galt Wilson"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Edith Wilson cropped 2.jpg
http://www.wikidata.org/entity/Q35171 	"Grover Cleveland"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png 	http://www.wikidata.org/entity/Q233644 	"Frances Folsom Cleveland Preston"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Frances Folsom Cleveland.jpg
http://www.wikidata.org/entity/Q35171 	"Grover Cleveland"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/StephenGroverCleveland.png 	http://www.wikidata.org/entity/Q233644 	"Frances Folsom Cleveland Preston"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Frances Folsom Cleveland.jpg
http://www.wikidata.org/entity/Q34597 	"James A. Garfield"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/James Abram Garfield, photo portrait seated.jpg 	http://www.wikidata.org/entity/Q234261 	"Lucretia Garfield"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Lucretia Garfield - Brady-Handy.jpg
http://www.wikidata.org/entity/Q34296 	"Woodrow Wilson"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Thomas Woodrow Wilson, Harris & Ewing bw photo portrait, 1919.jpg 	http://www.wikidata.org/entity/Q234283 	"Ellen Axson Wilson"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/ELWilson.jpg
http://www.wikidata.org/entity/Q35678 	"Benjamin Harrison"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin Harrison (official Presidential portrait, 1895).jpg 	http://www.wikidata.org/entity/Q2421426 	"Mary Dimmick Harrison"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Mary Dimmick Harrison.jpg
http://www.wikidata.org/entity/Q35498 	"Chester A. Arthur"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/20 Chester Arthur 3x4.jpg 	http://www.wikidata.org/entity/Q2306099 	"Ellen Lewis Herndon Arthur"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Ellen Arthur.jpg
http://www.wikidata.org/entity/Q34836 	"Ulysses S. Grant"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Ugrant.jpeg 	http://www.wikidata.org/entity/Q233641 	"Julia Grant"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Julia Dent Grant.jpg
http://www.wikidata.org/entity/Q9640 	"Lyndon B. Johnson"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Lbj2.jpg 	http://www.wikidata.org/entity/Q233648 	"Lady Bird Johnson"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Lady Bird Johnson, photo portrait, standing at rear of White House, color, crop.jpg
http://www.wikidata.org/entity/Q35678 	"Benjamin Harrison"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin Harrison (official Presidential portrait, 1895).jpg 	http://www.wikidata.org/entity/Q234263 	"Caroline Harrison"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Caroline Harrison.jpg
http://www.wikidata.org/entity/Q35236 	"Herbert Hoover"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/HerbertHoover.jpg 	http://www.wikidata.org/entity/Q233669 	"Lou Henry Hoover"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Louhenryhoover.jpg
http://www.wikidata.org/entity/Q12306 	"Millard Fillmore"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Millard Fillmore.jpg 	http://www.wikidata.org/entity/Q234266 	"Abigail Fillmore"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Abigail Fillmore (Library of Congress).jpg
http://www.wikidata.org/entity/Q11613 	"Harry S. Truman"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/HarryTruman.jpg 	http://www.wikidata.org/entity/Q233652 	"Bess Truman"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Beth Truman cropped.jpg
http://www.wikidata.org/entity/Q9916 	"Dwight D. Eisenhower"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Dwight D. Eisenhower, official Presidential portrait.jpg 	http://www.wikidata.org/entity/Q233686 	"Mamie Eisenhower"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Mamie Eisenhower color photo portrait, White House, May 1954.jpg
http://www.wikidata.org/entity/Q8612 	"Andrew Johnson"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/President Andrew Johnson.jpg 	http://www.wikidata.org/entity/Q234295 	"Eliza McCardle Johnson"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/ElizaJohnson.jpg
http://www.wikidata.org/entity/Q35286 	"Warren G. Harding"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Warren G Harding portrait as senator June 1920.jpg 	http://www.wikidata.org/entity/Q233634 	"Florence Harding"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Florence Harding.jpg
http://www.wikidata.org/entity/Q12312 	"Franklin Pierce"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Franklin Pierce.jpg 	http://www.wikidata.org/entity/Q238371 	"Jane Pierce"@en 	http://commons.wikimedia.org/wiki/Special:FilePath/Jane Pierce portrait.jpg
