Overall time BD (ms)	Overall time SO (ms)	Time first output SO (ms)	number of tuples	Exceptions
N/A	0.8972	N/A	9	none
N/A	13.743	N/A	100	none
N/A	0.9526	N/A	16	none
N/A	0.9057	N/A	10	none
N/A	10.116	N/A	26	none
N/A	0.9415	N/A	16	none
N/A	10.056	N/A	23	none
N/A	0.994	N/A	26	none
N/A	0.9026	N/A	9	none
N/A	10.294	N/A	34	none
N/A	0.9776	N/A	14	none
N/A	0.8798	N/A	5	none
N/A	0.86	N/A	4	none
N/A	11.423	N/A	52	none
N/A	0.9949	N/A	20	none
N/A	0.8961	N/A	9	none
N/A	10.282	N/A	28	none
N/A	0.8567	N/A	4	none
N/A	10.867	N/A	36	none
N/A	0.9354	N/A	14	none
N/A	0.9688	N/A	19	none
N/A	0.8535	N/A	5	none
N/A	0.9594	N/A	13	none
N/A	0.9141	N/A	11	none
N/A	0.8942	N/A	12	none
N/A	0.8981	N/A	10	none
N/A	16.345	N/A	147	none
N/A	0.9053	N/A	6	none
N/A	0.9848	N/A	20	none
N/A	0.861	N/A	9	none
N/A	0.8423	N/A	9	none
N/A	0.9235	N/A	12	none
N/A	10.193	N/A	31	none
N/A	10.018	N/A	18	none
N/A	0.9161	N/A	14	none
N/A	0.8751	N/A	2	none
N/A	10.175	N/A	39	none
N/A	0.9904	N/A	17	none
N/A	0.9456	N/A	16	none
N/A	11.994	N/A	68	none
N/A	0.9737	N/A	20	none
N/A	0.9206	N/A	8	none
N/A	11.869	N/A	54	none
N/A	0.9501	N/A	17	none
N/A	10.315	N/A	25	none
N/A	0.9442	N/A	17	none
N/A	0.9153	N/A	10	none
N/A	0.8928	N/A	7	none
N/A	0.9028	N/A	3	none
N/A	11.249	N/A	49	none
N/A	0.8713	N/A	3	none
N/A	75.336	N/A	9	none
N/A	0.8833	N/A	8	none
N/A	0.8833	N/A	6	none
N/A	10.119	N/A	22	none
N/A	12.603	N/A	68	none
N/A	1.096	N/A	51	none
N/A	1.003	N/A	23	none
N/A	0.9585	N/A	18	none
N/A	0.9121	N/A	12	none
N/A	0.9081	N/A	13	none
N/A	0.8904	N/A	1	none
N/A	0.9466	N/A	20	none
N/A	0.8985	N/A	9	none
N/A	0.9307	N/A	16	none
N/A	0.9283	N/A	10	none
N/A	0.949	N/A	15	none
N/A	0.9103	N/A	12	none
N/A	0.9555	N/A	18	none
N/A	11.014	N/A	42	none
N/A	0.9577	N/A	17	none
N/A	1.932	N/A	215	none
N/A	0.9454	N/A	9	none
N/A	0.8914	N/A	8	none
N/A	1.052	N/A	34	none
N/A	10.122	N/A	30	none
N/A	10.316	N/A	25	none
N/A	0.9773	N/A	25	none
N/A	0.9281	N/A	15	none
N/A	0.8938	N/A	6	none
N/A	0.9108	N/A	5	none
N/A	0.9321	N/A	12	none
N/A	76.903	N/A	25	none
N/A	0.913	N/A	11	none
N/A	0.9021	N/A	12	none
N/A	10.041	N/A	23	none
N/A	1.59	N/A	128	none
N/A	12.514	N/A	69	none
N/A	10.834	N/A	34	none
N/A	0.915	N/A	13	none
N/A	0.8931	N/A	10	none
N/A	0.9693	N/A	11	none
N/A	0.9677	N/A	17	none
N/A	10.235	N/A	28	none
N/A	93.705	N/A	29	none
N/A	10.407	N/A	25	none
N/A	0.841	N/A	1	none
N/A	0.9489	N/A	17	none
N/A	0.9008	N/A	9	none
N/A	12.115	N/A	61	none
N/A	0.921	N/A	8	none
N/A	0.9008	N/A	20	none
N/A	0.9701	N/A	22	none
N/A	0.9544	N/A	18	none
N/A	0.9415	N/A	17	none
N/A	0.8689	N/A	6	none
N/A	57.302	N/A	16	none
N/A	0.9218	N/A	11	none
N/A	10.578	N/A	44	none
N/A	0.8975	N/A	9	none
N/A	0.9809	N/A	16	none
N/A	10.164	N/A	25	none
N/A	0.915	N/A	13	none
N/A	0.8601	N/A	3	none
N/A	98.178	N/A	100	none
N/A	0.8641	N/A	3	none
N/A	0.8716	N/A	7	none
N/A	0.9218	N/A	6	none
N/A	0.9896	N/A	22	none
N/A	0.8517	N/A	4	none
N/A	0.8958	N/A	7	none
N/A	12.172	N/A	51	none
N/A	0.9052	N/A	11	none
N/A	0.9401	N/A	17	none
N/A	10.709	N/A	38	none
N/A	0.9089	N/A	6	none
N/A	0.9435	N/A	16	none
N/A	0.8691	N/A	5	none
N/A	0.9155	N/A	11	none
N/A	0.9518	N/A	11	none
N/A	0.983	N/A	24	none
N/A	10.224	N/A	29	none
N/A	12.041	N/A	64	none
N/A	0.9404	N/A	9	none
N/A	0.9789	N/A	17	none
N/A	0.9121	N/A	12	none
N/A	0.9283	N/A	14	none
N/A	0.895	N/A	4	none
N/A	0.8529	N/A	2	none
N/A	0.9054	N/A	8	none
N/A	0.917	N/A	13	none
N/A	0.9146	N/A	5	none
N/A	0.9145	N/A	10	none
N/A	0.9174	N/A	12	none
N/A	0.8714	N/A	5	none
N/A	0.9602	N/A	14	none
N/A	0.9053	N/A	12	none
N/A	11.914	N/A	60	none
N/A	10.275	N/A	26	none
N/A	0.9219	N/A	13	none
N/A	10.328	N/A	32	none
N/A	0.9678	N/A	17	none
N/A	0.9556	N/A	17	none
N/A	10.287	N/A	32	none
N/A	0.9346	N/A	17	none
N/A	0.8987	N/A	13	none
N/A	0.9189	N/A	5	none
N/A	0.9229	N/A	14	none
N/A	0.8948	N/A	10	none
N/A	13.741	N/A	71	none
N/A	0.8883	N/A	1	none
N/A	0.8586	N/A	5	none
N/A	0.9071	N/A	11	none
N/A	0.9206	N/A	12	none
N/A	0.8759	N/A	4	none
N/A	0.8951	N/A	9	none
N/A	1.002	N/A	28	none
N/A	0.894	N/A	8	none
N/A	0.9537	N/A	11	none
N/A	0.9497	N/A	19	none
N/A	0.8434	N/A	2	none
N/A	0.9556	N/A	20	none
N/A	10.102	N/A	22	none
N/A	0.925	N/A	13	none
N/A	0.907	N/A	9	none
N/A	12.019	N/A	56	none
N/A	0.9708	N/A	17	none
N/A	0.9106	N/A	10	none
N/A	0.906	N/A	12	none
N/A	13.278	N/A	93	none
N/A	0.8503	N/A	2	none
N/A	0.9203	N/A	12	none
N/A	0.9375	N/A	19	none
N/A	0.8601	N/A	5	none
N/A	0.9247	N/A	15	none
N/A	10.649.646	N/A	10000	none
N/A	11.098.737	N/A	10000	none
N/A	1.536.223	N/A	10000	none
N/A	11.134.038	N/A	10000	none
N/A	7.628.696	N/A	10000	none
N/A	170.26	N/A	10000	none
N/A	13.031.709	N/A	10000	none
N/A	22.830.274	N/A	10000	none
N/A	12.846.878	N/A	10000	none
N/A	10.811.718	N/A	10000	none
N/A	730.228	N/A	10000	none
N/A	1.295.455	N/A	10000	none
N/A	6.095.417	N/A	2420	none
N/A	1.882.328	N/A	10000	none
N/A	1.683.995	N/A	10000	none
N/A	1.263.042	N/A	10000	none
N/A	34.681.064	N/A	10000	none
N/A	9.957.078	N/A	10000	none
N/A	1.308.142	N/A	10000	none
N/A	3.270.593	N/A	10000	none
N/A	10.356.662	N/A	10000	none
N/A	1.281.355	N/A	10000	none
N/A	5.588.221	N/A	10000	none
N/A	1.903.051	N/A	10000	none
N/A	1.912.128	N/A	10000	none
N/A	3.262.712	N/A	10000	none
N/A	5.139.684	N/A	10000	none
N/A	1.864.982	N/A	10000	none
N/A	5.100.007	N/A	10000	none
N/A	5.053.172	N/A	10000	none
N/A	12.404.877	N/A	10000	none
N/A	11.344.327	N/A	10000	none
N/A	6.686.855	N/A	10000	none
N/A	7.075.934	N/A	9482	none
N/A	6.406.041	N/A	2885	none
N/A	6.414.804	N/A	10000	none
N/A	12.620.797	N/A	10000	none
N/A	266.604	N/A	10000	none
N/A	667.384	N/A	3269	none
N/A	3.245.031	N/A	10000	none
N/A	1.906.185	N/A	10000	none
N/A	1.908.268	N/A	10000	none
N/A	9.543.723	N/A	10000	none
N/A	5.517.904	N/A	10000	none
N/A	1.911.385	N/A	10000	none
N/A	11.117.934	N/A	10000	none
N/A	1.280.744	N/A	10000	none
N/A	4.813.794	N/A	10000	none
N/A	9.581.237	N/A	10000	none
N/A	6.385.012	N/A	10000	none
N/A	12.427.856	N/A	10000	none
N/A	6.807.616	N/A	10000	none
N/A	1.862.176	N/A	10000	none
N/A	569.472	N/A	10000	none
N/A	5.953.663	N/A	10000	none
N/A	483.35	N/A	10000	none
N/A	11.401.443	N/A	10000	none
N/A	12.606.333	N/A	10000	none
N/A	2.761.646	N/A	10000	none
N/A	1.472.729	N/A	10000	none
N/A	11.445.714	N/A	10000	none
N/A	11.639.785	N/A	10000	none
N/A	6.027.109	N/A	1418	none
N/A	186.589	N/A	10000	none
N/A	10.565.529	N/A	10000	none
N/A	53.021.693	N/A	10000	none
N/A	1.885.203	N/A	10000	none
N/A	11.208.286	N/A	10000	none
N/A	4.313.266	N/A	10000	none
N/A	1.314.889	N/A	10000	none
N/A	11.019.237	N/A	10000	none
N/A	3.266.447	N/A	10000	none
N/A	5.598.961	N/A	10000	none
N/A	11.521.164	N/A	10000	none
N/A	2.039.844	N/A	10000	none
N/A	191.647	N/A	10000	none
N/A	12.463.235	N/A	10000	none
N/A	1.873.898	N/A	10000	none
N/A	10.508.374	N/A	10000	none
N/A	8.110.162	N/A	10000	none
N/A	14.007.863	N/A	10000	none
N/A	968.482	N/A	10000	none
N/A	1.696.394	N/A	10000	none
N/A	1.990.608	N/A	10000	none
N/A	11.282.613	N/A	10000	none
N/A	1.929.626	N/A	10000	none
N/A	1.916.044	N/A	10000	none
N/A	1.682.614	N/A	10000	none
N/A	6.147.535	N/A	10000	none
N/A	12.349.464	N/A	10000	none
N/A	271.035	N/A	10000	none
N/A	12.858.642	N/A	10000	none
N/A	10.568.184	N/A	10000	none
N/A	616.578	N/A	2231	none
N/A	6.950.613	N/A	10000	none
N/A	3.235.168	N/A	10000	none
N/A	11.261.371	N/A	10000	none
N/A	281.684	N/A	10000	none
N/A	13.385.571	N/A	10000	none
N/A	1.309.666	N/A	10000	none
N/A	5.822.374	N/A	10000	none
N/A	11.062.891	N/A	10000	none
N/A	1.269.049	N/A	10000	none
N/A	2.758.458	N/A	10000	none
N/A	3.277.339	N/A	10000	none
N/A	11.195.533	N/A	10000	none
N/A	14.172.718	N/A	10000	none
N/A	1.934.063	N/A	10000	none
N/A	1.303.667	N/A	10000	none
N/A	3.241.087	N/A	10000	none
N/A	10.682.371	N/A	10000	none
N/A	2.181.732	N/A	10000	none
N/A	3.277.008	N/A	10000	none
N/A	1.918.871	N/A	10000	none
N/A	1.241.456	N/A	10000	none
N/A	7.329.309	N/A	10000	none
N/A	3.254.522	N/A	10000	none
N/A	12.216.209	N/A	10000	none
N/A	1.281.773	N/A	10000	none
N/A	9.540.092	N/A	10000	none
N/A	2.198.417	N/A	10000	none
N/A	5.169.921	N/A	10000	none
N/A	6.622.419	N/A	3269	none
N/A	1.286.816	N/A	10000	none
N/A	5.306.456	N/A	10000	none
N/A	10.403.063	N/A	10000	none
N/A	559.525	N/A	10000	none
N/A	12.339.179	N/A	10000	none
N/A	11.302.196	N/A	10000	none
N/A	5.457.641	N/A	260	none
N/A	1.898.301	N/A	10000	none
N/A	1.185.079	N/A	10000	none
N/A	1.620.472	N/A	10000	none
N/A	1.868.808	N/A	10000	none
N/A	12.762.432	N/A	10000	none
N/A	281.622	N/A	10000	none
N/A	10.494.835	N/A	10000	none
N/A	1.902.497	N/A	10000	none
N/A	9.482.154	N/A	10000	none
N/A	1.231.527	N/A	10000	none
N/A	11.025.441	N/A	10000	none
N/A	11.210.751	N/A	10000	none
N/A	11.750.155	N/A	10000	none
N/A	36.892.664	N/A	10000	none
N/A	1.968.626	N/A	10000	none
N/A	3.684.526	N/A	10000	none
N/A	653.188	N/A	3600	none
N/A	11.172.799	N/A	10000	none
N/A	6.349.628	N/A	2426	none
N/A	22.261.019	N/A	10000	none
N/A	4.966.153	N/A	10000	none
N/A	280.429	N/A	10000	none
N/A	9.354.451	N/A	10000	none
N/A	12.959.836	N/A	10000	none
N/A	2.414.906	N/A	10000	none
N/A	11.136.347	N/A	10000	none
N/A	1.916.506	N/A	10000	none
N/A	6.756.605	N/A	10000	none
N/A	5.045.405	N/A	10000	none
N/A	6.656.108	N/A	10000	none
N/A	8.204.993	N/A	10000	none
N/A	2.434.789	N/A	10000	none
N/A	5.865.659	N/A	10000	none
N/A	21.884.255	N/A	10000	none
N/A	1.236.679	N/A	10000	none
N/A	1.900.294	N/A	10000	none
N/A	6.697.708	N/A	3269	none
N/A	11.428.441	N/A	10000	none
N/A	3.705.162	N/A	10000	none
N/A	10.794.263	N/A	10000	none
N/A	5.786.508	N/A	10000	none
N/A	11.528.197	N/A	10000	none
N/A	2.470.993	N/A	10000	none
N/A	11.313.495	N/A	10000	none
N/A	12.451.489	N/A	10000	none
N/A	11.041.239	N/A	10000	none
N/A	6.072.338	N/A	10000	none
N/A	944.771	N/A	10000	none
N/A	320.621	N/A	10000	none
N/A	3.263.242	N/A	10000	none
N/A	12.464.729	N/A	10000	none
N/A	11.267.789	N/A	10000	none
N/A	10.538.049	N/A	10000	none
N/A	10.825.896	N/A	10000	none
N/A	11.348.543	N/A	10000	none
N/A	14.323.404	N/A	10000	none
N/A	1.284.835	N/A	10000	none
N/A	670.323	N/A	10000	none
N/A	12.236.693	N/A	10000	none
N/A	1.297.552	N/A	10000	none
N/A	34.895.673	N/A	10000	none
N/A	10.973.084	N/A	10000	none
N/A	1.266.331	N/A	10000	none
N/A	25.047.928	N/A	10000	none
N/A	11.378.705	N/A	10000	none
N/A	13.968.246	N/A	10000	none
N/A	33.557.046	N/A	10000	none
N/A	969.782	N/A	10000	none
N/A	6.121.987	N/A	10000	none
N/A	2.174.783	N/A	10000	none
N/A	4.946.175	N/A	10000	none
N/A	6.706.187	N/A	4878	none
N/A	6.078.849	N/A	2231	none
N/A	1.877.729	N/A	10000	none
N/A	1.883.314	N/A	10000	none
N/A	5.152.577	N/A	10000	none
N/A	3.242.194	N/A	10000	none
N/A	6.990.282	N/A	9482	none
N/A	12.987.146	N/A	10000	none
N/A	854.771	N/A	10000	none
N/A	6.344.334	N/A	3907	none
N/A	12.249.621	N/A	10000	none
N/A	6.358.794	N/A	3907	none
N/A	271.141	N/A	10000	none
N/A	9.866.694	N/A	10000	none
N/A	1.736.776	N/A	10000	none
N/A	1.264.157	N/A	10000	none
N/A	6.967.675	N/A	4744	none
N/A	11.264.211	N/A	10000	none
N/A	2.922.968	N/A	10000	none
N/A	5.640.214	N/A	10000	none
N/A	3.252.254	N/A	10000	none
N/A	1.349.498	N/A	10000	none
N/A	5.054.011	N/A	10000	none
N/A	10.924.581	N/A	10000	none
N/A	1.790.585	N/A	10000	none
N/A	4.794.508	N/A	10000	none
N/A	5.944.215	N/A	10000	none
N/A	983.138	N/A	10000	none
N/A	3.215.786	N/A	10000	none
N/A	6.029.817	N/A	1418	none
N/A	1.933.757	N/A	10000	none
N/A	1.917.731	N/A	10000	none
N/A	12.088.253	N/A	10000	none
N/A	10.250.008	N/A	10000	none
N/A	1.084.994	N/A	10000	none
N/A	1.898.349	N/A	10000	none
N/A	6.162.366	N/A	2420	none
N/A	12.772.568	N/A	10000	none
N/A	1.893.298	N/A	10000	none
N/A	1.640.163	N/A	10000	none
N/A	11.008.862	N/A	10000	none
N/A	6.937.191	N/A	4744	none
N/A	10.808.523	N/A	10000	none
N/A	12.348.755	N/A	10000	none
N/A	10.775.395	N/A	10000	none
N/A	10.982.458	N/A	10000	none
N/A	10.420.263	N/A	10000	none
N/A	2.369.341	N/A	10000	none
N/A	1.295.805	N/A	10000	none
N/A	10.989.071	N/A	10000	none
N/A	1.269.585	N/A	10000	none
N/A	1.903.886	N/A	10000	none
N/A	1.695.211	N/A	10000	none
N/A	1.641.548	N/A	10000	none
N/A	11.210.253	N/A	10000	none
N/A	219.228	N/A	10000	none
N/A	6.055.885	N/A	1992	none
N/A	4.197.951	N/A	10000	none
N/A	5.256.665	N/A	10000	none
N/A	10.837.122	N/A	10000	none
N/A	1.940.109	N/A	10000	none
N/A	1.737.534	N/A	10000	none
N/A	1.898.822	N/A	10000	none
N/A	12.401.631	N/A	10000	none
N/A	728.1	N/A	6511	none
N/A	6.904.247	N/A	4744	none
N/A	10.974.773	N/A	10000	none
N/A	10.887.843	N/A	10000	none
N/A	1.266.113	N/A	10000	none
N/A	12.117.584	N/A	10000	none
N/A	9.949.218	N/A	10000	none
N/A	1.912.547	N/A	10000	none
N/A	621.359	N/A	10000	none
N/A	1.925.839	N/A	10000	none
N/A	1.840.377	N/A	10000	none
N/A	966.383	N/A	10000	none
N/A	1.131.424	N/A	10000	none
N/A	11.064.253	N/A	10000	none
N/A	5.146.023	N/A	10000	none
N/A	6.417.096	N/A	2885	none
N/A	11.131.766	N/A	10000	none
N/A	6.300.463	N/A	10000	none
N/A	1.272.064	N/A	10000	none
N/A	6.647.106	N/A	10000	none
N/A	18.923.625	N/A	10000	none
N/A	11.702.193	N/A	10000	none
N/A	11.002.306	N/A	10000	none
N/A	1.928.384	N/A	10000	none
N/A	1.290.133	N/A	10000	none
N/A	3.008.161	N/A	10000	none
N/A	959.678	N/A	10000	none
N/A	1.207.652	N/A	10000	none
N/A	2.756.172	N/A	10000	none
N/A	6.904.139	N/A	4744	none
N/A	3.243.431	N/A	10000	none
N/A	11.512.006	N/A	10000	none
N/A	9.633.336	N/A	10000	none
N/A	269.857	N/A	10000	none
N/A	5.018.234	N/A	10000	none
N/A	1.092.581	N/A	10000	none
N/A	11.317.244	N/A	10000	none
N/A	11.185.641	N/A	10000	none
N/A	2.101.247	N/A	10000	none
N/A	5.692.951	N/A	10000	none
N/A	4.296.116	N/A	10000	none
N/A	1.841.923	N/A	10000	none
N/A	9.452.886	N/A	10000	none
N/A	1.250.853	N/A	10000	none
N/A	6.034.965	N/A	10000	none
N/A	11.268.743	N/A	10000	none
N/A	6.667.963	N/A	3269	none
N/A	270.191	N/A	10000	none
N/A	1.889.107	N/A	10000	none
N/A	270.605	N/A	10000	none
N/A	6.503.424	N/A	3600	none
