Overall time BD (ms)	Overall time SO (ms)	Time first output SO (ms)	number of tuples	Exceptions
N/A	2.980642	N/A	18	OK
N/A	0.418702	N/A	1246	OK
N/A	2.946512	N/A	1	OK
N/A	0.440667	N/A	140	OK
N/A	53.843947	N/A	1742	OK
N/A	4.238162	N/A	2752	OK
N/A	33.104969	N/A	2295818	OK
N/A	54.122525	N/A	36112	OK
N/A	0.550148	N/A	332	OK
N/A	0.160814	N/A	1	OK
N/A	1.283403	N/A	1768	OK
N/A	5.724526	N/A	1811814	OK
N/A	60	N/A	0	timed out
N/A	0.393135	N/A	36339	OK
N/A	3.071927	N/A	2	OK
N/A	27.813103	N/A	1807485	OK
N/A	1.042999	N/A	1	OK
N/A	16.579305	N/A	15205132	OK
N/A	0.498217	N/A	1	OK
N/A	14.287536	N/A	341789	OK
N/A	1.509922	N/A	266	OK
N/A	1.593273	N/A	2726	OK
N/A	1.762952	N/A	1362	OK
N/A	1.395796	N/A	1206	OK
N/A	1.877827	N/A	585	OK
N/A	6.527769	N/A	140	OK
N/A	0.049349	N/A	2	OK
N/A	0.85934	N/A	101	OK
N/A	0.282271	N/A	172	OK
N/A	6.053006	N/A	2997149	OK
N/A	6.36547	N/A	2295818	OK
N/A	7.402627	N/A	343875	OK
N/A	16.743221	N/A	909	OK
N/A	0.430016	N/A	1	OK
N/A	0.007324	N/A	1	OK
N/A	40.400593	N/A	32845	OK
N/A	2.198164	N/A	1067	OK
N/A	2.42472	N/A	16	OK
N/A	4.139709	N/A	1	OK
N/A	1.972347	N/A	34	OK
N/A	0.026243	N/A	2	OK
N/A	0.179085	N/A	1	OK
N/A	0.522408	N/A	1	OK
N/A	60	N/A	0	timed out
N/A	60	N/A	0	timed out
N/A	0.850535	N/A	109	OK
N/A	24.862676	N/A	45953	OK
N/A	2.285716	N/A	53964	OK
N/A	20.63654	N/A	231	OK
N/A	0.088691	N/A	2	OK
N/A	22.015683	N/A	28385	OK
N/A	26.20173	N/A	15205132	OK
N/A	0.368198	N/A	918	OK
N/A	3.859512	N/A	2863	OK
N/A	0.021444	N/A	3721	OK
N/A	13.740879	N/A	5867	OK
N/A	2.531878	N/A	177	OK
N/A	1.407032	N/A	1779	OK
N/A	59.027973	N/A	290331	OK
N/A	26.028418	N/A	1807485	OK
N/A	0.077807	N/A	1	OK
N/A	60	N/A	0	timed out
N/A	1.6003	N/A	116	OK
N/A	1.0001	N/A	6	OK
N/A	0.038343	N/A	1	OK
N/A	21.316025	N/A	2	OK
N/A	60	N/A	0	timed out
N/A	3.596245	N/A	24	OK
N/A	6.651859	N/A	6012	OK
N/A	1.14379	N/A	85433	OK
N/A	41.794038	N/A	3184176	OK
N/A	0.081221	N/A	1	OK
N/A	12.530488	N/A	2	OK
N/A	0.03824	N/A	0	OK
N/A	0.017139	N/A	2916	OK
N/A	11.513862	N/A	46	OK
N/A	3.172967	N/A	52	OK
N/A	0.909786	N/A	139	OK
N/A	23.792669	N/A	44360	OK
N/A	0.573014	N/A	1	OK
N/A	3.314672	N/A	573	OK
N/A	5.743367	N/A	2224092	OK
N/A	2.650782	N/A	57086	OK
N/A	0.04506	N/A	2	OK
N/A	54.65695	N/A	317	OK
N/A	0.21864	N/A	1416	OK
N/A	1.51318	N/A	2	OK
N/A	27.211597	N/A	3	OK
N/A	9.803593	N/A	3039581	OK
N/A	6.494782	N/A	2	OK
N/A	14.523798	N/A	26	OK
N/A	46.729866	N/A	2235352	OK
N/A	0.122301	N/A	582	OK
N/A	1.807911	N/A	74	OK
N/A	0.798226	N/A	1	OK
N/A	20.242882	N/A	436254	OK
N/A	11.37142	N/A	14557	OK
N/A	18.799037	N/A	5839	OK
N/A	26.118737	N/A	378986	OK
N/A	16.667609	N/A	3376	OK
N/A	9.605546	N/A	1609	OK
N/A	0.128253	N/A	3	OK
N/A	6.714565	N/A	2825431	OK
N/A	3.011303	N/A	7626	OK
N/A	13.876915	N/A	3933	OK
N/A	10.699614	N/A	19591	OK
N/A	24.572652	N/A	60656	OK
N/A	0.299306	N/A	10	OK
N/A	0.105379	N/A	1	OK
N/A	2.403355	N/A	27233	OK
N/A	0.08859	N/A	65	OK
N/A	0.056657	N/A	1	OK
N/A	0.333159	N/A	42	OK
N/A	33.632292	N/A	25847	OK
N/A	1.175107	N/A	22	OK
N/A	6.946563	N/A	16271	OK
N/A	0.091238	N/A	2	OK
N/A	20.545688	N/A	44478	OK
N/A	0.745615	N/A	53	OK
N/A	36.850938	N/A	296019	OK
N/A	0.022957	N/A	745	OK
N/A	3.122307	N/A	5608	OK
N/A	27.994358	N/A	259878	OK
N/A	0.079062	N/A	1	OK
N/A	10.497475	N/A	3039581	OK
N/A	2.656579	N/A	121	OK
N/A	0.617182	N/A	113451	OK
N/A	1.184837	N/A	287841	OK
N/A	1.539431	N/A	1	OK
N/A	0.040146	N/A	2	OK
N/A	0.424308	N/A	225253	OK
N/A	7.293178	N/A	119274	OK
N/A	22.028178	N/A	1902264	OK
N/A	25.803946	N/A	46374	OK
N/A	35.164577	N/A	358077	OK
N/A	0.133627	N/A	2	OK
N/A	0.011698	N/A	2	OK
N/A	1.123173	N/A	5	OK
N/A	7.658063	N/A	1	OK
N/A	1.6749	N/A	119	OK
N/A	0.198196	N/A	2	OK
N/A	0.764307	N/A	9	OK
N/A	5.874046	N/A	18395	OK
N/A	13.387521	N/A	367759	OK
N/A	2.676333	N/A	2	OK
N/A	0.999101	N/A	9	OK
N/A	0.985939	N/A	4	OK
N/A	38.965491	N/A	3184176	OK
N/A	29.067519	N/A	340774	OK
N/A	0.415194	N/A	124576	OK
N/A	1.772224	N/A	4998	OK
N/A	0.088178	N/A	204	OK
N/A	60	N/A	0	timed out
N/A	0.183874	N/A	235	OK
N/A	0.75784	N/A	3328	OK
N/A	0.161511	N/A	2	OK
N/A	0.063521	N/A	1	OK
N/A	0.600784	N/A	1	OK
N/A	0.19606	N/A	1	OK
N/A	0.804703	N/A	121	OK
N/A	0.040941	N/A	1	OK
N/A	0.017254	N/A	1	OK
N/A	13.933532	N/A	448263	OK
N/A	0.254355	N/A	16	OK
N/A	9.712335	N/A	347790	OK
N/A	0.142728	N/A	1123	OK
N/A	0.464236	N/A	6	OK
N/A	10.094486	N/A	30880	OK
N/A	0.065911	N/A	1	OK
N/A	0.028685	N/A	94	OK
N/A	0.502461	N/A	0	OK
N/A	0.082044	N/A	1	OK
N/A	5.770795	N/A	155	OK
N/A	20.91691	N/A	61417	OK
N/A	0.252657	N/A	4	OK
N/A	0.114022	N/A	1	OK
N/A	0.136996	N/A	770	OK
N/A	36.197082	N/A	2806902	OK
N/A	0.390204	N/A	3938	OK
N/A	0.079291	N/A	12771	OK
N/A	0.160031	N/A	1	OK
N/A	6.259827	N/A	2224092	OK
N/A	0.115554	N/A	1521	OK
N/A	20.008742	N/A	90463	OK
N/A	60	N/A	0	timed out
N/A	2.573628	N/A	1395	OK
N/A	0.160525	N/A	217	OK
N/A	1.386859	N/A	4	OK
N/A	0.039978	N/A	1	OK
N/A	0.128307	N/A	1222	OK
N/A	19.710777	N/A	15205132	OK
N/A	0.048133	N/A	1	OK
N/A	29.314561	N/A	2238214	OK
N/A	0.208666	N/A	129	OK
N/A	11.838733	N/A	1	OK
N/A	1.08606	N/A	304	OK
N/A	60	N/A	0	timed out
N/A	13.178706	N/A	31125	OK
N/A	0.084866	N/A	1	OK
N/A	14.899332	N/A	1748	OK
N/A	0.021229	N/A	14	OK
N/A	0.036595	N/A	4	OK
N/A	48.435711	N/A	1301	OK
N/A	43.966064	N/A	77624	OK
N/A	5.320691	N/A	1811814	OK
N/A	0.096043	N/A	83	OK
N/A	55.027309	N/A	1497797	OK
N/A	2.520075	N/A	24	OK
N/A	0.099644	N/A	1	OK
N/A	1.522367	N/A	63	OK
N/A	60	N/A	0	timed out
N/A	0.026891	N/A	1	OK
N/A	0.07763	N/A	1	OK
N/A	0.024164	N/A	1	OK
N/A	13.943466	N/A	34502	OK
N/A	0.091282	N/A	2	OK
N/A	11.075081	N/A	35588	OK
N/A	1.6484	N/A	128662	OK
N/A	0.455148	N/A	9	OK
N/A	0.085415	N/A	0	OK
N/A	2.446235	N/A	82	OK
N/A	2.196601	N/A	11445	OK
N/A	0.130988	N/A	0	OK
N/A	14.4526	N/A	63943	OK
N/A	5.771434	N/A	15611	OK
N/A	1.001434	N/A	8	OK
N/A	0.029347	N/A	5	OK
N/A	3.615759	N/A	973	OK
N/A	0.187702	N/A	498	OK
N/A	0.052345	N/A	1	OK
N/A	0.05913	N/A	659	OK
N/A	0.024813	N/A	1	OK
N/A	38.993131	N/A	239620	OK
N/A	8.352736	N/A	6984933	OK
N/A	0.618475	N/A	113451	OK
N/A	1.511699	N/A	195954	OK
N/A	1.91309	N/A	396624	OK
N/A	16.198284	N/A	1740	OK
N/A	20.389351	N/A	81728	OK
N/A	49.359683	N/A	47010	OK
N/A	0.06461	N/A	79	OK
N/A	22.204715	N/A	19565	OK
N/A	7.452266	N/A	124574	OK
N/A	6.236675	N/A	2295818	OK
N/A	0.325293	N/A	4	OK
N/A	5.830448	N/A	1811814	OK
N/A	7.189505	N/A	2825431	OK
N/A	0.580544	N/A	1	OK
N/A	0.040919	N/A	1	OK
N/A	0.946921	N/A	46	OK
N/A	0.070578	N/A	1	OK
N/A	1.01249	N/A	2757	OK
N/A	2.587904	N/A	1663	OK
N/A	0.10469	N/A	185	OK
N/A	60	N/A	0	timed out
N/A	34.285994	N/A	310638	OK
N/A	3.089529	N/A	19	OK
N/A	60	N/A	0	timed out
N/A	3.361138	N/A	2	OK
N/A	0.1188	N/A	2	OK
N/A	0.153084	N/A	2	OK
N/A	6.565145	N/A	10057	OK
N/A	14.435738	N/A	16549	OK
N/A	2.257302	N/A	17	OK
N/A	0.145199	N/A	33	OK
N/A	0.10571	N/A	3	OK
N/A	11.337592	N/A	3	OK
N/A	1.71576	N/A	2	OK
N/A	1.872488	N/A	23	OK
N/A	0.98008	N/A	217	OK
N/A	10.558429	N/A	133	OK
N/A	13.465445	N/A	282	OK
N/A	0.522349	N/A	2	OK
N/A	0.20871	N/A	1653	OK
N/A	0.039093	N/A	0	OK
N/A	0.058299	N/A	2	OK
N/A	0.440012	N/A	2	OK
N/A	7.466922	N/A	2372465	OK
N/A	6.64562	N/A	3	OK
N/A	0.071955	N/A	1	OK
N/A	1.490444	N/A	8279	OK
N/A	60	N/A	0	timed out
N/A	14.5407	N/A	118	OK
N/A	0.03559	N/A	1	OK
N/A	15.071192	N/A	99	OK
N/A	3.721108	N/A	930172	OK
N/A	60	N/A	0	timed out
N/A	8.199065	N/A	2	OK
N/A	0.504646	N/A	4766	OK
N/A	0.024932	N/A	61	OK
N/A	9.119897	N/A	3879153	OK
N/A	2.431087	N/A	4039	OK
N/A	8.022674	N/A	72	OK
N/A	0.039386	N/A	1	OK
N/A	0.041364	N/A	2	OK
N/A	0.089973	N/A	25	OK
